Comment,Background offensive,Offensive,Topic,Unnamed: 4
Theres the slight issue of consent with paedophilia and beastiality,Acceptable speech,Acceptable,No target,lgbt
THIS IS THE ONLY BIBLE PROPHECY LEFT TO BE FULFILLED AND I SINCERELY WISH THAT IT HAPPENS IN THE NEXT 20 YEARS FOR THOSE WHO SAY TO BELIEVE ONLY IN JESUS OWN WORDS THESE ARE HIS MATHEW 24151 Then Jesus went out and departed from the temple and His disciples came up to show Him the buildings of the temple And Jesus said to them Do you not see all these things Assuredly I say to you not one stone shall be left here upon another that shall not be thrown down Now as He sat on the Mount of Olives the disciples came to Him privately saying Tell us when will these things be And what will be the sign of Your coming and of the end of the age And Jesus answered and said to them Take heed that no one deceives you For many will come in My name saying I am the Christ and will deceive many And you will hear of wars and rumors of wars See that you are not troubled for all these things must come to pass but the end is not yet For nation will rise against nation and kingdom against kingdom And there will be famines pestilences and earthquakes in various places All these are the beginning of sorrows Then they will deliver you up to tribulation and kill you and you will be hated by all nations for My names sake And then many will be offended will betray one another and will hate one another Then many false prophets will rise up and deceive many And because lawlessness will abound the love of many will grow cold But he who endures to the end shall be saved And this gospel of the kingdom will be preached in all the world as a witness to all the nations and then the end will come Therefore when you see the abomination of desolation spoken of by Daniel the prophet standing in the holy place whoever reads let him understand then let those who are in Judea flee to the mountains Let him who is on the housetop not go down to take anything out of his house And let him who is in the field not go back to get his clothes But woe to those who are pregnant and to those who are nursing babies in those days And pray that your flight may not be in winter or on the Sabbath For then there will be great tribulation such as has not been since the beginning of the world until this time no nor ever shall be And unless those days were shortened no flesh would be saved but for the elects sake those days will be shortened Then if anyone says to you Look here is the Christ or There do not believe it For false christs and false prophets will rise and show great signs and wonders to deceive if possible even the elect See I have told you beforehand Therefore if they say to you Look He is in the desert do not go out or Look He is in the inner rooms do not believe it For as the lightning comes from the east and flashes to the west so also will the coming of the Son of Man be For wherever the carcass is there the eagles will be gathered together Immediately after the tribulation of those days the sun will be darkened and the moon will not give its light the stars will fall from heaven and the powers of the heavens will be shaken Then the sign of the Son of Man will appear in heaven and then all the tribes of the earth will mourn and they will see the Son of Man coming on the clouds of heaven with power and great glory And He will send His angels with a great sound of a trumpet and they will gather together His elect from the four winds from one end of heaven to the other Now learn this parable from the fig tree When its branch has already become tender and puts forth leaves you know that summer is near So you also when you see all these things know that it is nearat the doors Assuredly I say to you this generation will by no means pass away till all these things take place Heaven and earth will pass away but My words will by no means pass away But of that day and hour no one knows not even the angels of heaven but My Father only But as the days of Noah were so also will the coming of the Son of Man be For as in the days before the flood they were eating and drinking marrying and giving in marriage until the day that Noah entered the ark and did not know until the flood came and took them all away so also will the coming of the Son of Man be Then two men will be in the field one will be taken and the other left Two women will be grinding at the mill one will be taken and the other left Watch therefore for you do not know what hour your Lord is coming But know this that if the master of the house had known what hour the thief would come he would have watched and not allowed his house to be broken into Therefore you also be ready for the Son of Man is coming at an hour you do not expect Who then is a faithful and wise servant whom his master made ruler over his household to give them food in due season Blessed is that servant whom his master when he comes will find so doing Assuredly I say to you that he will make him ruler over all his goods But if that evil servant says in his heart My master is delaying his coming and begins to beat his fellow servants and to eat and drink with the drunkards the master of that servant will come on a day when he is not looking for him and at an hour that he is not aware of and will cut him in two and appoint him his portion with the hypocrites There shall be weeping and gnashing of teeth,Acceptable speech,Acceptable,No target,lgbt
Not everyone has the option of a rainbow reaction I dont but wish I did,Acceptable speech,Acceptable,No target,lgbt
Happy Pride,Acceptable speech,Acceptable,No target,lgbt
dont worry about it you can get treated if you must,Other offensive,Offensive,No target,lgbt
Top praise to Jonathan Billington for being our speelcheck,Acceptable speech,Acceptable,No target,lgbt
Who mentioned standards,Acceptable speech,Acceptable,No target,lgbt
except satanic new world order whores like these idiots that want to get married in a church its all it isand these idiots are the pawns in the game of destroy our natural world total moronsgo home and be a gay as you like behind closed doorshave a bit of respect for the family unite and our young childrens minds eh its been funded by the satanic bankers as usual you stupid sheepPlanned out before most of you gay people were even born your 50 to 100 years behind reality all done by design,Background offensive,Offensive,Topic,lgbt
Why do they put ham in Mohammads name,Acceptable speech,Acceptable,No target,lgbt
Me TOO Love everybody,Acceptable speech,Acceptable,No target,lgbt
15000 Transgender Troops in the USA armed forces that is 15000 folk with more stones that Tom Jackson will ever have,Acceptable speech,Acceptable,No target,lgbt
Well if its not lgbt then it would be a race or someone else not protected by the majority It will always be one small group or another being attacked The masses are easier to control when sepearated Are you on the hate train,Acceptable speech,Acceptable,No target,lgbt
Wait What You mean thats what has been hidden under those robes Where can I buy one,Acceptable speech,Acceptable,No target,lgbt
Wtf are you on about you homophob,Other offensive,Offensive,Commenter,lgbt
Happy Pride,Acceptable speech,Acceptable,No target,lgbt
This always confused me If homosexuality is no big deal which it isnt why be proud of it Its normal so it isnt an accomplishment So why celebrate it I could care less but I just dont get it,Background offensive,Offensive,Topic,lgbt
Gender doesnt determine what you can or cant do Personality is far more important,Acceptable speech,Acceptable,No target,lgbt
